timestamp,angle,pwm
1751695700.3505278,135.88,40
1751695700.354235,122.78,40
1751695700.3559213,110.04,40
1751695700.3584287,96.59,40
1751695700.3611062,84.38,40
1751695700.363782,72.6,40
1751695700.3664246,60.91,40
1751695700.3693311,48.96,40
1751695700.3714392,37.88,40
1751695700.3740978,26.63,40
1751695700.3769083,15.12,40
1751695700.3789923,3.78,40
1751695700.3824594,352.27,40
1751695700.384711,339.96,40
1751695700.3874671,327.22,40
1751695700.3909068,314.65,40
1751695700.3932788,301.29,40
1751695700.3961549,288.37,40
1751695700.3996475,274.48,40
1751695700.401681,261.12,40
1751695700.404396,247.94,40
1751695700.4074054,233.79,40
1751695700.4099803,220.61,40
1751695700.4131978,206.89,40
1751695700.415639,193.62,40
1751695700.418304,180.79,40
1751695700.4220884,164.18,40
1751695700.42469,151.52,40
1751695700.4280505,139.39,40
1751695700.4304512,126.74,40
1751695700.4332137,113.55,40
1751695700.4359415,100.72,40
1751695700.4385808,87.1,40
1751695700.4411669,75.23,40
1751695700.4438207,63.11,40
1751695700.446331,51.94,40
1751695700.448931,40.34,40
1751695700.4514666,29.18,40
1751695700.454001,17.67,40
1751695700.4566844,5.89,40
1751695700.459361,354.38,40
1751695700.46213,341.98,40
1751695700.464949,329.77,40
1751695700.467879,316.85,40
1751695700.4705446,303.93,40
1751695700.4735477,290.57,40
1751695700.4762275,276.77,40
1751695700.4790585,263.41,40
1751695700.4818494,249.7,40
1751695700.4847746,236.16,40
1751695700.487556,222.36,40
1751695700.4908583,209.18,40
1751695700.4931924,195.38,40
1751695700.4964128,182.37,40
1751695700.4991405,169.37,40
1751695700.5016844,156.62,40
1751695700.5045545,144.49,40
1751695700.5073054,132.1,40
1751695700.5101416,118.92,40
1751695700.5133052,106.17,40
1751695700.5153916,92.55,40
1751695700.5178657,80.51,40
1751695700.520622,68.73,40
1751695700.5231977,57.13,40
1751695700.525906,45.35,40
1751695700.5285578,34.19,40
1751695700.530941,22.85,40
1751695700.5337226,10.99,40
1751695700.5362723,359.65,40
1751695700.5392277,347.17,40
1751695700.5419893,334.51,40
1751695700.5447474,321.68,40
1751695700.547716,308.85,40
1751695700.5505261,295.58,40
1751695700.5533235,282.48,40
1751695700.5561948,268.51,40
1751695700.5589125,255.23,40
1751695700.5617175,241.35,40
1751695700.5647297,227.46,40
1751695700.5672376,214.28,40
1751695700.5701058,200.48,40
1751695700.5731196,187.29,40
1751695700.575872,174.2,40
1751695700.578655,161.28,40
1751695700.5813937,148.71,40
1751695700.5840194,136.41,40
1751695700.586834,123.31,40
1751695700.5897326,110.57,40
1751695700.592253,97.56,40
1751695700.5949621,84.99,40
1751695700.597505,73.13,40
1751695700.6000597,61.44,40
1751695700.6026154,49.92,40
1751695700.6054544,38.76,40
1751695700.608038,27.51,40
1751695700.610537,15.64,40
1751695700.6131868,4.22,40
1751695700.6163123,352.79,40
1751695700.6187165,340.4,40
1751695700.6216052,327.74,40
1751695700.624352,315.09,40
1751695700.6271806,301.82,40
1751695700.629838,288.9,40
1751695700.6330972,275.01,40
1751695700.6354885,261.65,40
1751695700.6384482,247.94,40
1751695700.6412466,234.32,40
1751695700.644057,220.61,40
1751695700.6468754,206.98,40
1751695700.6498158,193.18,40
1751695700.6525514,180.35,40
1751695700.6552215,167.26,40
1751695700.6581168,155.04,40
1751695700.6607594,142.47,40
1751695700.6636717,129.99,40
1751695700.6664977,116.72,40
1751695700.6790733,103.54,40
1751695700.680702,90.35,40
1751695700.6835668,77.96,40
1751695700.6854405,66.18,40
1751695700.6945095,54.58,40
1751695700.6950617,43.24,40
1751695700.6955957,32.17,40
1751695700.696615,20.74,40
1751695700.697071,9.4,40
1751695700.6976266,357.45,40
1751695700.6980772,345.06,40
1751695700.698446,332.31,40
1751695700.701068,319.92,40
1751695700.7041075,307.09,40
1751695700.7066665,293.73,40
1751695700.7094722,280.02,40
1751695700.7122624,266.57,40
1751695700.715039,252.95,40
1751695700.7178733,239.41,40
1751695700.7206795,225.53,40
1751695700.7234359,212.34,40
1751695700.7262285,199.07,40
1751695700.7290576,185.54,40
1751695700.7318432,172.44,40
1751695700.734667,159.96,40
1751695700.7374902,147.92,40
1751695700.7403116,135.18,40
1751695700.7430503,122.43,40
1751695700.7459698,109.25,40
1751695700.7485108,96.24,40
1751695700.75391,83.58,40
1751695700.7543402,71.81,40
1751695700.7575867,60.12,40
1751695700.758759,48.6,40
1751695700.761247,37.44,40
1751695700.763789,26.19,40
1751695700.7664764,14.77,40
1751695700.7691882,3.34,40
1751695700.7717655,351.91,40
1751695700.7745512,339.52,40
1751695700.777376,326.87,40
1751695700.7801929,314.21,40
1751695700.7832375,300.85,40
1751695700.78599,287.93,40
1751695700.7886987,274.04,40
1751695700.7914188,260.68,40
1751695700.7942708,246.97,40
1751695700.7970943,232.91,40
1751695700.8001661,219.73,40
1751695700.8028202,206.54,40
1751695700.805642,192.74,40
1751695700.808365,179.91,40
1751695700.81116,166.9,40
1751695700.814042,154.69,40
1751695700.8171692,142.12,40
1751695700.819722,129.11,40
1751695700.8224123,115.84,40
1751695700.8253253,103.1,40
1751695700.8279028,89.47,40
1751695700.8303988,77.52,40
1751695700.83316,65.74,40
1751695700.8356218,54.14,40
1751695700.8382819,42.89,40
1751695700.8407724,31.73,40
1751695700.8432963,20.3,40
1751695700.845782,8.96,40
1751695700.8485272,357.45,40
1751695700.851465,344.62,40
1751695700.8544543,332.4,40
1751695700.857158,319.57,40
1751695700.8599012,306.65,40
1751695700.862694,293.29,40
1751695700.8658805,280.11,40
1751695700.8683228,266.22,40
1751695700.8711445,252.95,40
1751695700.8740168,238.97,40
1751695700.8776274,221.92,40
1751695700.8804746,208.21,40
1751695700.8832428,194.41,40
1751695700.886279,181.49,40
1751695700.888846,168.49,40
1751695700.8916423,156.18,40
1751695700.8944273,143.61,40
1751695700.897234,131.13,40
1751695700.900515,118.39,40
1751695700.9029365,105.21,40
1751695700.9055312,92.02,40
1751695700.9081566,79.54,40
1751695700.910502,67.76,40
1751695700.9132314,56.07,40
1751695700.91598,44.74,40
1751695700.9182673,33.66,40
1751695700.9208996,22.32,40
1751695700.9234111,10.46,40
1751695700.92611,359.03,40
1751695700.9289732,346.64,40
1751695700.931767,334.42,40
1751695700.9348946,321.59,40
1751695700.9374986,308.76,40
1751695700.940349,295.49,40
1751695700.9432986,282.39,40
1751695700.9458885,268.42,40
1751695700.948667,254.71,40
1751695700.951552,241.35,40
1751695700.9545474,227.37,40
1751695700.9572835,214.19,40
1751695700.9598784,200.39,40
1751695700.9629085,187.38,40
1751695700.966019,174.2,40
1751695700.968479,161.72,40
1751695700.971243,149.24,40
1751695700.9741874,136.49,40
1751695700.976743,123.75,40
1751695700.9796886,111.01,40
1751695700.982654,97.56,40
1751695700.9847713,85.34,40
1751695700.9872694,73.56,40
1751695700.99006,61.88,40
1751695700.9924867,50.36,40
1751695700.9950457,39.2,40
1751695700.9975986,27.95,40
1751695701.0003676,16.08,40
1751695701.0027149,4.75,40
1751695701.0055716,353.67,40
1751695701.0083156,340.84,40
1751695701.011232,328.62,40
1751695701.0139098,315.62,40
1751695701.016839,302.7,40
1751695701.0196915,289.42,40
1751695701.0225868,276.06,40
1751695701.0252895,262.18,40
1751695701.0280657,248.99,40
1751695701.0309093,234.84,40
1751695701.0337915,221.22,40
1751695701.036541,208.04,40
1751695701.0392845,194.68,40
1751695701.0420637,181.32,40
1751695701.0447228,168.75,40
1751695701.0477123,156.09,40
1751695701.0504532,143.96,40
1751695701.053204,131.04,40
1751695701.0559988,118.3,40
1751695701.058832,105.03,40
1751695701.061412,91.41,40
1751695701.0640569,79.45,40
1751695701.0667896,67.68,40
1751695701.069268,55.55,40
1751695701.0719092,44.3,40
1751695701.074431,32.7,40
1751695701.077007,21.36,40
1751695701.080289,9.93,40
1751695701.0825663,358.51,40
1751695701.0851102,346.11,40
1751695701.087937,333.81,40
1751695701.0906558,321.06,40
1751695701.093392,308.14,40
1751695701.0962505,294.79,40
1751695701.099043,281.25,40
1751695701.1019328,267.71,40
1751695701.1046667,254.09,40
1751695701.1075168,240.64,40
1751695701.1102676,227.11,40
1751695701.1130636,213.49,40
1751695701.1161025,200.21,40
1751695701.1187525,186.68,40
1751695701.1216521,173.5,40
1751695701.1243322,161.1,40
1751695701.1271398,148.54,40
1751695701.129968,135.79,40
1751695701.1329968,123.05,40
1751695701.1355798,110.3,40
1751695701.1381688,96.86,40
1751695701.1407206,84.73,40
1751695701.1432867,72.86,40
1751695701.145991,61.17,40
1751695701.1484008,49.66,40
1751695701.1511402,38.5,40
1751695701.1536043,26.81,40
1751695701.1561744,15.38,40
1751695701.1586938,4.04,40
1751695701.1614196,352.53,40
1751695701.1642668,340.22,40
1751695701.1672225,327.57,40
1751695701.1698909,314.91,40
1751695701.1726928,301.99,40
1751695701.1756594,288.63,40
1751695701.1783907,274.83,40
1751695701.1811473,261.47,40
1751695701.184016,247.76,40
1751695701.1867962,234.14,40
1751695701.189577,220.43,40
1751695701.1923165,207.25,40
1751695701.1951692,193.97,40
1751695701.197956,180.62,40
1751695701.2008457,167.61,40
1751695701.2036738,155.3,40
1751695701.2064545,142.82,40
1751695701.209178,130.25,40
1751695701.2120407,117.07,40
1751695701.2147813,104.33,40
1751695701.2174556,91.14,40
1751695701.2200274,78.66,40
1751695701.2225428,66.97,40
1751695701.2250793,55.28,40
1751695701.22767,44.03,40
1751695701.2303545,32.87,40
1751695701.2327743,21.53,40
1751695701.2353923,10.11,40
1751695701.2381504,358.68,40
1751695701.2410047,346.29,40
1751695701.2438047,333.54,40
1751695701.2466946,321.24,40
1751695701.2495828,307.88,40
1751695701.2524915,295.05,40
1751695701.2550776,281.43,40
1751695701.2579181,267.98,40
1751695701.2607489,254.27,40
1751695701.2635021,240.82,40
1751695701.2664833,226.93,40
1751695701.2693186,213.75,40
1751695701.2719247,199.95,40
1751695701.2747788,186.86,40
1751695701.2775807,173.32,40
1751695701.2803586,160.84,40
1751695701.2832077,148.27,40
1751695701.286041,136.05,40
1751695701.2889779,122.78,40
1751695701.2918632,110.13,40
1751695701.2943914,96.59,40
1751695701.2969515,84.46,40
1751695701.299701,72.69,40
1751695701.3022652,60.56,40
1751695701.3046298,49.04,40
1751695701.307144,37.88,40
1751695701.3096983,26.63,40
1751695701.3122895,15.21,40
1751695701.314755,3.78,40
1751695701.317695,352.27,40
1751695701.3206105,339.96,40
1751695701.3234067,327.3,40
1751695701.3260844,314.65,40
1751695701.328964,301.82,40
1751695701.332661,284.68,40
1751695701.3353915,271.23,40
1751695701.3380666,257.43,40
1751695701.3408983,244.16,40
1751695701.3437173,230.1,40
1751695701.346488,216.91,40
1751695701.349654,203.2,40
1751695701.3522284,190.02,40
1751695701.354909,176.75,40
1751695701.357687,164.27,40
1751695701.3605998,151.7,40
1751695701.3633502,139.48,40
1751695701.3663433,126.39,40
1751695701.3690553,113.2,40
1751695701.371842,100.37,40
1751695701.3743489,86.66,40
1751695701.3769794,74.36,40
1751695701.3795397,62.67,40
1751695701.382111,51.15,40
1751695701.384695,39.9,40
1751695701.3873463,28.74,40
1751695701.3897917,17.31,40
1751695701.3923576,5.89,40
1751695701.3951182,354.46,40
1751695701.3979707,342.07,40
1751695701.4009044,329.41,40
1751695701.4036214,316.41,40
