Tiempo_ms,PWM_porcentaje,RPM
0,0,0.00
4,0,0.00
8,0,0.00
12,0,0.00
16,0,0.00
20,0,0.00
24,0,0.00
28,0,0.00
32,0,0.00
36,0,0.00
40,0,0.00
44,0,0.00
48,0,0.00
52,0,0.00
56,0,0.00
60,0,0.00
64,0,0.00
68,0,0.00
72,0,0.00
76,0,0.00
80,0,0.00
84,0,0.00
88,0,0.00
92,0,0.00
96,0,0.00
100,0,0.00
104,0,0.00
108,0,0.00
112,0,0.00
116,0,0.00
120,0,0.00
124,0,0.00
128,0,0.00
132,0,0.00
136,0,0.00
140,0,0.00
144,0,0.00
148,0,0.00
152,0,0.00
156,0,0.00
160,0,0.00
164,0,0.00
168,0,0.00
172,0,0.00
176,0,0.00
180,0,0.00
184,0,0.00
188,0,0.00
192,0,0.00
196,0,0.00
200,0,0.00
204,0,0.00
208,0,0.00
212,0,0.00
216,0,0.00
220,0,0.00
224,0,0.00
228,0,0.00
232,0,0.00
236,0,0.00
240,0,0.00
244,0,0.00
248,0,0.00
252,0,0.00
256,0,0.00
260,0,0.00
264,0,0.00
268,0,0.00
272,0,0.00
276,0,0.00
280,0,0.00
284,0,0.00
288,0,0.00
292,0,0.00
296,0,0.00
300,0,0.00
304,0,0.00
308,0,0.00
312,0,0.00
316,0,0.00
320,0,0.00
324,0,0.00
328,0,0.00
332,0,0.00
336,0,0.00
340,0,0.00
344,0,0.00
348,0,0.00
352,0,0.00
356,0,0.00
360,0,0.00
364,0,0.00
368,0,0.00
372,0,0.00
376,0,0.00
380,0,0.00
384,0,0.00
388,0,0.00
392,0,0.00
396,0,0.00
400,0,0.00
404,0,0.00
408,0,0.00
412,0,0.00
416,0,0.00
420,0,0.00
424,0,0.00
428,0,0.00
432,0,0.00
436,0,0.00
440,0,0.00
444,0,0.00
448,0,0.00
452,0,0.00
456,0,0.00
460,0,0.00
464,0,0.00
468,0,0.00
472,0,0.00
476,0,0.00
480,0,0.00
484,0,0.00
488,0,0.00
492,0,0.00
496,0,0.00
500,0,0.00
504,0,0.00
508,0,0.00
512,0,0.00
516,0,0.00
520,0,0.00
524,0,0.00
528,0,0.00
532,0,0.00
536,0,0.00
540,0,0.00
544,0,0.00
548,0,0.00
552,0,0.00
556,0,0.00
560,0,0.00
564,0,0.00
568,0,0.00
572,0,0.00
576,0,0.00
580,0,0.00
584,0,0.00
588,0,0.00
592,0,0.00
596,0,0.00
600,0,0.00
604,0,0.00
608,0,0.00
612,0,0.00
616,0,0.00
620,0,0.00
624,0,0.00
628,0,0.00
632,0,0.00
636,0,0.00
640,0,0.00
644,0,0.00
648,0,0.00
652,0,0.00
656,0,0.00
660,0,0.00
664,0,0.00
668,0,0.00
672,0,0.00
676,0,0.00
680,0,0.00
684,0,0.00
688,0,0.00
692,0,0.00
696,0,0.00
700,0,0.00
704,0,0.00
708,0,0.00
712,0,0.00
716,0,0.00
